Clusters,Iteration,Dimensions,Gamma,Points,Loss,Scale
5,-1,1,100,359381,-1.1444092e-05,9
5,-1,1,1,1000000,0.48794937,9
5,-1,1,10,1000000,-0.004550934,9
5,-1,1,100,1000000,-3.1471252e-05,9
5,-1,1,1,100,0.1915381,10
5,-1,1,10,100,-0.020201683,10
5,-1,1,100,100,-0.012773752,10
5,-1,1,1,278,-0.054630756,10
5,-1,1,10,278,-0.0051407814,10
5,-1,1,100,278,-0.0009937286,10
5,-1,1,1,774,0.18593645,10
5,-1,1,10,774,-0.0016684532,10
5,-1,1,100,774,-0.0014801025,10
5,-1,1,1,2154,0.5884495,10
5,-1,1,10,2154,-0.00044345856,10
5,-1,1,100,2154,-0.00057411194,10
5,-1,1,1,5994,0.48447895,10
5,-1,1,10,5994,0.00034284592,10
5,-1,1,100,5994,-6.67572e-06,10
5,-1,1,1,16681,0.44789934,10
5,-1,1,10,16681,0.00058174133,10
5,-1,1,100,16681,3.33786e-06,10
5,-1,1,1,46415,0.33480263,10
5,-1,1,10,46415,-0.00063991547,10
5,-1,1,100,46415,-0.00013542175,10
5,-1,1,1,129154,0.5412483,10
5,-1,1,10,129154,0.03148651,10
5,-1,1,100,129154,-0.0017232895,10
5,-1,1,1,359381,0.6782694,10
5,-1,1,10,359381,-0.00061798096,10
5,-1,1,100,359381,2.0980835e-05,10
5,-1,1,1,1000000,0.8533468,10
5,-1,1,10,1000000,3.9100647e-05,10
5,-1,1,100,1000000,-3.8146973e-06,10
5,-1,2,1,100,1.7169511,1
5,-1,2,10,100,1.087775,1
5,-1,2,100,100,-0.022189856,1
5,-1,2,1,278,1.8181475,1
5,-1,2,10,278,0.9742521,1
5,-1,2,100,278,0.01003468,1
5,-1,2,1,774,1.9929521,1
5,-1,2,10,774,1.0050926,1
5,-1,2,100,774,0.0045075417,1
5,-1,2,1,2154,1.5840242,1
5,-1,2,10,2154,1.4269116,1
5,-1,2,100,2154,0.028978825,1
5,-1,2,1,5994,1.8007336,1
5,-1,2,10,5994,0.96083736,1
5,-1,2,100,5994,-0.0016803741,1
5,-1,2,1,16681,1.6995206,1
5,-1,2,10,16681,1.6173096,1
5,-1,2,100,16681,0.019156456,1
5,-1,2,1,46415,2.1180267,1
5,-1,2,10,46415,1.9712129,1
5,-1,2,100,46415,0.028346539,1
5,-1,2,1,129154,2.0176477,1
5,-1,2,10,129154,1.7583351,1
5,-1,2,100,129154,0.019450665,1
5,-1,2,1,359381,1.8213234,1
5,-1,2,10,359381,1.8017197,1
5,-1,2,100,359381,-0.023656845,1
5,-1,2,1,1000000,1.6312199,1
5,-1,2,10,1000000,1.4887323,1
5,-1,2,100,1000000,0.0052042007,1
5,-1,2,1,100,1.7389033,2
5,-1,2,10,100,0.023363829,2
5,-1,2,100,100,-0.020990849,2
5,-1,2,1,278,1.7756331,2
5,-1,2,10,278,0.0389266,2
5,-1,2,100,278,-0.0022730827,2
5,-1,2,1,774,2.0334077,2
5,-1,2,10,774,0.04210806,2
5,-1,2,100,774,4.7683716e-06,2
5,-1,2,1,2154,1.8268018,2
5,-1,2,10,2154,0.05255699,2
5,-1,2,100,2154,3.2901764e-05,2
5,-1,2,1,5994,1.7476177,2
5,-1,2,10,5994,0.06986618,2
5,-1,2,100,5994,-0.0002746582,2
5,-1,2,1,16681,1.9917493,2
5,-1,2,10,16681,-0.06694555,2
5,-1,2,100,16681,0.0002503395,2
5,-1,2,1,46415,2.4412127,2
5,-1,2,10,46415,0.263247,2
5,-1,2,100,46415,-3.8146973e-05,2
5,-1,2,1,129154,1.9129162,2
5,-1,2,10,129154,0.37836266,2
5,-1,2,100,129154,1.335144e-05,2
5,-1,2,1,359381,2.3204174,2
5,-1,2,10,359381,0.28793526,2
5,-1,2,100,359381,1.7166138e-05,2
5,-1,2,1,1000000,2.1139536,2
5,-1,2,10,1000000,0.071624756,2
5,-1,2,100,1000000,-0.0018577576,2
5,-1,2,1,100,1.1505201,3
5,-1,2,10,100,-0.005558014,3
5,-1,2,100,100,-0.010215759,3
5,-1,2,1,278,0.8014405,3
5,-1,2,10,278,-0.44637322,3
5,-1,2,100,278,-0.00016403198,3
5,-1,2,1,774,1.3460484,3
5,-1,2,10,774,0.0036768913,3
5,-1,2,100,774,-0.00020742416,3
5,-1,2,1,2154,0.8258033,3
5,-1,2,10,2154,0.048455715,3
5,-1,2,100,2154,-0.00041294098,3
5,-1,2,1,5994,2.063439,3
5,-1,2,10,5994,0.069616795,3
5,-1,2,100,5994,-7.104874e-05,3
5,-1,2,1,16681,1.5337057,3
5,-1,2,10,16681,0.059347153,3
5,-1,2,100,16681,2.7656555e-05,3
5,-1,2,1,46415,1.0063791,3
5,-1,2,10,46415,0.03848648,3
5,-1,2,100,46415,-0.000289917,3
5,-1,2,1,129154,1.7564087,3
5,-1,2,10,129154,-0.030869484,3
5,-1,2,100,129154,-0.001127243,3
5,-1,2,1,359381,1.5719509,3
5,-1,2,10,359381,0.08660889,3
5,-1,2,100,359381,2.193451e-05,3
5,-1,2,1,1000000,2.1162443,3
5,-1,2,10,1000000,0.07807636,3
5,-1,2,100,1000000,-9.536743e-07,3
5,-1,2,1,100,0.2088759,4
5,-1,2,10,100,3.33786e-06,4
5,-1,2,100,100,-2.3841858e-07,4
5,-1,2,1,278,0.6262002,4
5,-1,2,10,278,0.0012936592,4
5,-1,2,100,278,-6.151199e-05,4
5,-1,2,1,774,0.42391825,4
5,-1,2,10,774,0.0009846687,4
5,-1,2,100,774,-0.00012111664,4
5,-1,2,1,2154,0.44849396,4
5,-1,2,10,2154,0.00040483475,4
5,-1,2,100,2154,-4.5776367e-05,4
5,-1,2,1,5994,0.71786165,4
5,-1,2,10,5994,0.0023818016,4
5,-1,2,100,5994,1.5735626e-05,4
5,-1,2,1,16681,0.9858713,4
5,-1,2,10,16681,0.008986473,4
5,-1,2,100,16681,-3.8146973e-05,4
5,-1,2,1,46415,1.0709629,4
5,-1,2,10,46415,0.00064754486,4
5,-1,2,100,46415,-8.583069e-06,4
5,-1,2,1,129154,0.9918823,4
5,-1,2,10,129154,0.02298069,4
5,-1,2,100,129154,0.0002155304,4
5,-1,2,1,359381,1.3688803,4
5,-1,2,10,359381,0.00879097,4
5,-1,2,100,359381,1.1444092e-05,4
5,-1,2,1,1000000,1.3318615,4
5,-1,2,10,1000000,0.023061752,4
5,-1,2,100,1000000,0.0007305145,4
5,-1,2,1,100,0.35452652,5
5,-1,2,10,100,0.0005393028,5
5,-1,2,100,100,2.6226044e-06,5
5,-1,2,1,278,0.2747059,5
5,-1,2,10,278,-0.010758877,5
5,-1,2,100,278,-0.006426811,5
5,-1,2,1,774,0.23345375,5
5,-1,2,10,774,0.001229763,5
5,-1,2,100,774,-7.1525574e-06,5
5,-1,2,1,2154,0.39384174,5
5,-1,2,10,2154,7.8201294e-05,5
5,-1,2,100,2154,-9.536743e-06,5
5,-1,2,1,5994,0.4496584,5
5,-1,2,10,5994,-0.0022730827,5
5,-1,2,100,5994,-2.7656555e-05,5
5,-1,2,1,16681,0.31384373,5
5,-1,2,10,16681,-0.0005187988,5
5,-1,2,100,16681,-6.1035156e-05,5
5,-1,2,1,46415,0.7593012,5
5,-1,2,10,46415,-0.0063762665,5
5,-1,2,100,46415,-0.0006246567,5
5,-1,2,1,129154,0.67640114,5
5,-1,2,10,129154,0.0013799667,5
5,-1,2,100,129154,-4.386902e-05,5
5,-1,2,1,359381,0.289402,5
5,-1,2,10,359381,0.0016107559,5
5,-1,2,100,359381,9.536743e-06,5
5,-1,2,1,1000000,0.9274378,5
5,-1,2,10,1000000,-0.021212578,5
5,-1,2,100,1000000,-0.0010814667,5
5,-1,2,1,100,0.17767358,6
5,-1,2,10,100,0.006850481,6
5,-1,2,100,100,4.7683716e-07,6
5,-1,2,1,278,0.10166359,6
5,-1,2,10,278,0.0049881935,6
5,-1,2,100,278,2.9563904e-05,6
5,-1,2,1,774,0.11960411,6
5,-1,2,10,774,-0.0005931854,6
5,-1,2,100,774,3.862381e-05,6
5,-1,2,1,2154,0.22585392,6
5,-1,2,10,2154,0.00023078918,6
5,-1,2,100,2154,-0.00022745132,6
5,-1,2,1,5994,0.3990755,6
5,-1,2,10,5994,0.0006842613,6
5,-1,2,100,5994,0.0012149811,6
5,-1,2,1,16681,0.25955868,6
5,-1,2,10,16681,-0.002978325,6
5,-1,2,100,16681,-0.00035953522,6
5,-1,2,1,46415,0.3245964,6
5,-1,2,10,46415,1.9073486e-05,6
5,-1,2,100,46415,-5.722046e-06,6
5,-1,2,1,129154,0.47167778,6
5,-1,2,10,129154,-0.028227806,6
5,-1,2,100,129154,-0.00067329407,6
5,-1,2,1,359381,0.4034977,6
5,-1,2,10,359381,3.1471252e-05,6
5,-1,2,100,359381,-2.3841858e-05,6
5,-1,2,1,1000000,0.38505745,6
5,-1,2,10,1000000,0.00039100647,6
5,-1,2,100,1000000,-6.67572e-06,6
5,-1,2,1,100,-0.024286747,7
5,-1,2,10,100,-0.00894928,7
5,-1,2,100,100,1.4305115e-06,7
5,-1,2,1,278,0.041625023,7
5,-1,2,10,278,-0.002073288,7
5,-1,2,100,278,-7.6293945e-06,7
5,-1,2,1,774,0.18274164,7
5,-1,2,10,774,-0.019295216,7
5,-1,2,100,774,0.0068264008,7
5,-1,2,1,2154,-0.21354866,7
5,-1,2,10,2154,-0.31283188,7
5,-1,2,100,2154,0.0015597343,7
5,-1,2,1,5994,0.35718536,7
5,-1,2,10,5994,0.00036001205,7
5,-1,2,100,5994,-4.7683716e-07,7
5,-1,2,1,16681,0.07704449,7
5,-1,2,10,16681,-2.002716e-05,7
5,-1,2,100,16681,-3.1471252e-05,7
5,-1,2,1,46415,0.15829849,7
5,-1,2,10,46415,-0.0028982162,7
5,-1,2,100,46415,0.0005493164,7
5,-1,2,1,129154,0.15360832,7
5,-1,2,10,129154,9.441376e-05,7
5,-1,2,100,129154,3.8146973e-06,7
5,-1,2,1,359381,0.062137604,7
5,-1,2,10,359381,0.00036621094,7
5,-1,2,100,359381,1.9073486e-06,7
5,-1,2,1,1000000,0.2897997,7
5,-1,2,10,1000000,9.536743e-07,7
5,-1,2,100,1000000,-1.9073486e-06,7
5,-1,2,1,100,0.0010342598,8
5,-1,2,10,100,0.00010442734,8
5,-1,2,100,100,-1.4305115e-06,8
5,-1,2,1,278,0.043102264,8
5,-1,2,10,278,-0.0053448677,8
5,-1,2,100,278,0.0001411438,8
5,-1,2,1,774,0.0051841736,8
5,-1,2,10,774,-0.0017170906,8
5,-1,2,100,774,-3.9577484e-05,8
5,-1,2,1,2154,0.028506279,8
5,-1,2,10,2154,-9.1552734e-05,8
5,-1,2,100,2154,-1.3828278e-05,8
5,-1,2,1,5994,0.207973,8
5,-1,2,10,5994,7.247925e-05,8
5,-1,2,100,5994,-4.7683716e-07,8
5,-1,2,1,16681,0.021709442,8
5,-1,2,10,16681,0.00045967102,8
5,-1,2,100,16681,-0.00018787384,8
5,-1,2,1,46415,0.20163345,8
5,-1,2,10,46415,0.0001039505,8
5,-1,2,100,46415,-7.8201294e-05,8
5,-1,2,1,129154,0.06318569,8
5,-1,2,10,129154,6.67572e-06,8
5,-1,2,100,129154,1.9073486e-06,8
5,-1,2,1,359381,0.056693077,8
5,-1,2,10,359381,0.0,8
5,-1,2,100,359381,9.536743e-07,8
5,-1,2,1,1000000,0.24120712,8
5,-1,2,10,1000000,0.0075979233,8
5,-1,2,100,1000000,0.00014400482,8
5,-1,2,1,100,0.017457485,9
5,-1,2,10,100,1.4305115e-06,9
5,-1,2,100,100,-2.3841858e-06,9
5,-1,2,1,278,0.012266159,9
